Code groupe;Libelle groupe;Type groupe;Milieu groupe;Support groupe;Code paramètre;Libelle paramètre;Fraction paramètre;Unite parametre;Defaut parametre;
070;Bactériologie;ANA;Prélèvements et analyses Rivières;Eau;1305;MES;Eau brute;;N;
070;Bactériologie;ANA;Prélèvements et analyses Rivières;Eau;1447;Coliformes;Eau brute;;N;
070;Bactériologie;ANA;Prélèvements et analyses Rivières;Eau;1448;Coli therm;Eau brute;;N;
070;Bactériologie;ANA;Prélèvements et analyses Rivières;Eau;1449;E. coli;Eau brute;;O;
070;Bactériologie;ANA;Prélèvements et analyses Rivières;Eau;1451;Salmonella;Eau brute;;N;
070;Bactériologie;ANA;Prélèvements et analyses Rivières;Eau;5479;Strept féc;Eau brute;;O;
070;Bactériologie;ANA;Prélèvements et analyses Rivières;Eau;6455;Enterocoq;Eau brute;;N;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1413;Feuilles;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1409;Temp.air;Air brut;degré Celsius;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1420;Q Inst.;;mètre cube par seconde;N;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1429;Cote;;mètre;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1428;Coloration;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1948;Seuil;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1423;Boues surn;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1410;Asp Abord;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1411;Irisations;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1412;Mousse det;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1415;Ombrage;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1416;Odeur;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1422;Limpidité;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1424;Autr.corps;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1425;Météo;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1726;S.hyd.app.;;Sans objet;O;
1000;Conditions Environnementales;ENV;Prélèvements et analyses Rivières;;1947;Type-Prelv;;Sans objet;O;
1001;Mesures in situ (Groupe 1 );SIT;Prélèvements et analyses Rivières;Eau;1311;O2 dissous;Eau brute;milligramme par litre;O;
1001;Mesures in situ (Groupe 1 );SIT;Prélèvements et analyses Rivières;Eau;1301;Temp. eau;Eau brute;degré Celsius;O;
1001;Mesures in situ (Groupe 1 );SIT;Prélèvements et analyses Rivières;Eau;1302;pH;Eau brute;unité pH;O;
1001;Mesures in situ (Groupe 1 );SIT;Prélèvements et analyses Rivières;Eau;1303;Conductiv.;Eau brute;microSiemens par centimètre;O;
1001;Mesures in situ (Groupe 1 );SIT;Prélèvements et analyses Rivières;Eau;1312;SATUR.O2;Eau brute;pourcentage;O;
1002;Macropolluants (groupe 2 et 2bis);ANA;Prélèvements et analyses Rivières;Eau;1335;NH4+;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1002;Macropolluants (groupe 2 et 2bis);ANA;Prélèvements et analyses Rivières;Eau;1305;MES;Eau brute;milligramme par litre;O;
1002;Macropolluants (groupe 2 et 2bis);ANA;Prélèvements et analyses Rivières;Eau;1342;SiO3--;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1002;Macropolluants (groupe 2 et 2bis);ANA;Prélèvements et analyses Rivières;Eau;1295;Turb.Néph.;Eau brute;nephelometric turbidity unit;O;
1002;Macropolluants (groupe 2 et 2bis);ANA;Prélèvements et analyses Rivières;Eau;1313;DBO5;Eau brute;milligramme par litre;O;
1002;Macropolluants (groupe 2 et 2bis);ANA;Prélèvements et analyses Rivières;Eau;1319;NKJ;Eau brute;milligramme par litre;O;
1002;Macropolluants (groupe 2 et 2bis);ANA;Prélèvements et analyses Rivières;Eau;1339;NO2-;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1002;Macropolluants (groupe 2 et 2bis);ANA;Prélèvements et analyses Rivières;Eau;1340;NO3-;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1002;Macropolluants (groupe 2 et 2bis);ANA;Prélèvements et analyses Rivières;Eau;1350;P total;Eau brute;milligramme par litre;O;
1002;Macropolluants (groupe 2 et 2bis);ANA;Prélèvements et analyses Rivières;Eau;1433;Orthophosp;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1002;Macropolluants (groupe 2 et 2bis);ANA;Prélèvements et analyses Rivières;Eau;1841;C Orga;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1003;Ions Majeurs (Groupe 3);ANA;Prélèvements et analyses Rivières;Eau;1327;HCO3-;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1003;Ions Majeurs (Groupe 3);ANA;Prélèvements et analyses Rivières;Eau;1375;Na;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1003;Ions Majeurs (Groupe 3);ANA;Prélèvements et analyses Rivières;Eau;1346;TA;Phase aqueuse de l'eau (filtrée, centrifugée...);degré français;O;
1003;Ions Majeurs (Groupe 3);ANA;Prélèvements et analyses Rivières;Eau;1347;TAC;Phase aqueuse de l'eau (filtrée, centrifugée...);degré français;O;
1003;Ions Majeurs (Groupe 3);ANA;Prélèvements et analyses Rivières;Eau;1328;CO3--;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1003;Ions Majeurs (Groupe 3);ANA;Prélèvements et analyses Rivières;Eau;1337;Cl-;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1003;Ions Majeurs (Groupe 3);ANA;Prélèvements et analyses Rivières;Eau;1338;SO4--;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1003;Ions Majeurs (Groupe 3);ANA;Prélèvements et analyses Rivières;Eau;1345;Dureté;Phase aqueuse de l'eau (filtrée, centrifugée...);degré français;O;
1003;Ions Majeurs (Groupe 3);ANA;Prélèvements et analyses Rivières;Eau;1367;K;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1003;Ions Majeurs (Groupe 3);ANA;Prélèvements et analyses Rivières;Eau;1372;Mg;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1003;Ions Majeurs (Groupe 3);ANA;Prélèvements et analyses Rivières;Eau;1374;Ca;Phase aqueuse de l'eau (filtrée, centrifugée...);milligramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1882;Nicosulfur;Eau brute;microgramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1670;Métazachlo;Eau brute;microgramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1383;Zn;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1369;As;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1392;Cu;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1389;Cr;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1136;Chlortolu;Eau brute;microgramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1105;Aminotriaz;Eau brute;microgramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1667;Oxadiazon;Eau brute;microgramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1907;AMPA;Eau brute;microgramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1506;Glyphosate;Eau brute;microgramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1113;Bentazone;Eau brute;microgramme par litre;O;
1004;Polluants Spécifiques EE;ANA;Prélèvements et analyses Rivières;Eau;1212;2.4-MCPA;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1955;C1013Clalc;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1464;Chlorfenvi;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1083;EtChlorpy;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1103;Aldrine;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1173;Dieldrine;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1181;Endrine;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1207;Isodrine;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;7146;Som4DDT;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1148;DDT 44';Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1161;1.2-2ClEth;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1168;2ClMéthane;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;6616;DEHP;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1177;Diuron;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1743;Endosulfan;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1191;Fluoranth.;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1199;HCB;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1652;HCBu;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;5537;HCH;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1208;Isoprotu.;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1382;Pb;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1387;Hg;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1517;Naphtalène;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1386;Ni;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1958;4-nonylphe;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1959;4-ter-ocph;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1888;PentaClBz;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1235;PCP;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1115;Benzo(a)py;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1263;Simazine;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1272;TTCE;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1286;TCE;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;2879;Tributytin;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1774;SomTriClBz;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1135;CHCl3;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1289;Triflural.;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1172;Dicofol;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;6561;PFOS;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;2028;Quinoxyfen;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1688;Aclonifène;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1119;Bifénox;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1935;Irgarol;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1140;Cyperméth.;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1170;Dichlorvos;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1197;Heptachlor;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1748;HepClEpox;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1749;HepEpox T;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1269;Terbutryne;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1114;Benzène;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1178;Endosuf.a;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1201;HCH bêta;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1202;HCH delta;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1283;TCB 124;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1144;DDD 44';Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1146;DDE 44';Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1147;DDT 24';Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1276;CCl4;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1101;Alachlore;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1458;Anthracène;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1107;Atrazine;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;2915;BDE100;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;2912;PBDE153;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;2911;PBDE154;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;2920;PBDE28;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;2919;PBDE47;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;2916;PBDE99;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1388;Cd;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1179;Endosulf.b;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1200;HCH alpha;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;2046;HCHepsilon;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1203;HCH gamma;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1630;TCB 123;Eau brute;microgramme par litre;O;
1005;Etat chimique;ANA;Prélèvements et analyses Rivières;Eau;1629;TCB 135;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1209;Linuron;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1084;CN LIB;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1129;Carbendaz.;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1221;Métolachlo;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1385;Se;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1394;Mn;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1414;Propyzamid;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1700;Fenpropidi;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1709;Piper.buto;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1903;Acétochlor;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;2766;Bisphenol;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5296;Carbamazep;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5325;DiBP;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5349;Diclofenac;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5350;Ibuprofene;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5353;Ketoprofen;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5354;Paracetamo;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5356;Sulfametho;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5375;Oxazepam;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5430;Triclosan;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;6219;Perchlorat;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;6533;Ofloxacine;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;6644;Etparaben;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;6693;Propyparab;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;6695;Metparaben;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;6725;CarbamaEpo;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;6853;MetolClOXA;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;6854;MetolClESA;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1108;DEA;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1109;DIA;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1125;Bromoxynil;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1175;Diméthoate;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1261;Pyrimiph.M;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1268;Terbuthyl.;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1271;TTCA 1122;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1285;TCA 1.1.2;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1361;U;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1364;Li;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1368;Ag;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1370;Al;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1373;Ti;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1377;Be;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1379;Co;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1380;Sn;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1384;V;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1393;Fe;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1395;Mo;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1396;Ba;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1406;Lénacile;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1480;Dicamba;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1489;DMéthPhtal;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1494;EpiCHydrin;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1498;DBrom Ethn;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1510;Mercaptodi;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1512;MTBE;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1528;Pirimicarb;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1530;Brom.Méthy;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1578;24DNtoluèn;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1586;34DClAnili;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1638;4-MetPh;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1640;2-MetPh;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1650;4-CPhénol;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1675;Flurochlor;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1678;Dimethamid;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1744;Epoxcz;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1753;Chl. vinyl;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1830;DeDIA;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1929;C8H8Cl2N2O;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1945;Isoxafluto;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;2023;Flumioxazi;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;2555;Thallium;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;2614;Nitrobenz;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;3159;2OHDethAtr;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5347;PFOA;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5369;Ac. fenofi;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5396;Estrone;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;5978;PFHxA;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;6830;PFHS;Eau brute;microgramme par litre;O;
1006;Substances pertinentes;ANA;Prélèvements et analyses Rivières;Eau;1376;Sb;Phase aqueuse de l'eau (filtrée, centrifugée...);microgramme par litre;O;
